"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.765328292E0,-8.173004150E-2,6.900650024E-2,9.937085724E0,9.937661414E0
2.775374292E0,-7.469467163E-2,8.098159790E-2,9.826316071E0,9.826933643E0
2.785420292E0,-6.197113037E-2,9.624984741E-2,9.744735718E0,9.745408081E0
2.795467292E0,-5.972579956E-2,7.469467163E-2,9.790241089E0,9.790708199E0
2.805513292E0,-6.122268677E-2,6.017486572E-2,9.831106110E0,9.831480894E0
2.815559292E0,-6.032455444E-2,5.777984619E-2,9.720635834E0,9.720994732E0
2.825605292E0,-4.819976807E-2,6.975494385E-2,9.713600464E0,9.713970503E0
2.835652292E0,-5.733078003E-2,4.221221924E-2,9.805209961E0,9.805468427E0
2.845698292E0,-5.658233643E-2,3.742218018E-2,9.773326263E0,9.773561696E0
2.855744292E0,-5.942642212E-2,5.733078003E-2,9.704768829E0,9.705120110E0
2.865791292E0,-6.541397095E-2,5.718109131E-2,9.779463501E0,9.779849438E0
2.875837292E0,-6.167175293E-2,4.834945679E-2,9.829758911E0,9.830071278E0
2.885883292E0,-5.658233643E-2,5.613327026E-2,9.785001984E0,9.785326582E0
2.895929292E0,-5.134323120E-2,7.798782349E-2,9.810299377E0,9.810743708E0
2.905976292E0,-4.580474854E-2,6.122268677E-2,9.862989807E0,9.863286178E0
2.916022292E0,-5.643264771E-2,6.466552734E-2,9.882449341E0,9.882822029E0
2.926068292E0,-5.388793945E-2,7.319778442E-2,9.873318329E0,9.873736712E0
2.936115292E0,-5.358856201E-2,9.235794067E-2,9.925859070E0,9.926433398E0
2.946161292E0,-5.298980713E-2,7.903564453E-2,9.986483002E0,9.986936332E0
2.956207292E0,-5.149291992E-2,6.795867920E-2,9.948611755E0,9.948977121E0
2.966253292E0,-5.703140259E-2,8.607101440E-2,9.884245605E0,9.884784873E0
2.976300292E0,-4.775070190E-2,8.232879639E-2,9.916428680E0,9.916885395E0
2.986346292E0,-6.810836792E-2,7.304809570E-2,9.964029694E0,9.964530220E0
2.996392292E0,-7.544311523E-2,6.511459351E-2,9.898316345E0,9.898818012E0
3.006439292E0,-6.795867920E-2,8.202941895E-2,9.847272491E0,9.847848635E0
3.016485292E0,-5.014572144E-2,6.960525513E-2,9.863139496E0,9.863512569E0
3.026531292E0,-5.433700562E-2,5.149291992E-2,9.880653076E0,9.880936658E0
3.036577292E0,-5.104385376E-2,7.469467163E-2,9.791139221E0,9.791557180E0
3.046624292E0,-3.876937866E-2,9.160949707E-2,9.827363892E0,9.827867338E0
3.056670292E0,-3.802093506E-2,8.262817383E-2,9.868228912E0,9.868648077E0
3.066716292E0,-4.640350342E-2,4.864883423E-2,9.803563385E0,9.803793910E0
3.076763292E0,-5.358856201E-2,4.580474854E-2,9.723779297E0,9.724034843E0
3.086809292E0,-4.311035156E-2,1.227447510E-2,9.857002258E0,9.857104173E0
3.096855292E0,-6.122268677E-2,1.332229614E-2,9.822274475E0,9.822474310E0
3.106902292E0,-7.514373779E-2,3.293151855E-2,9.767638092E0,9.767982646E0
3.116948292E0,-7.948471069E-2,5.388793945E-2,9.792935486E0,9.793406310E0
3.126994292E0,-7.694000244E-2,5.568420410E-2,9.874815216E0,9.875271948E0
3.137040292E0,-7.993377686E-2,4.610412598E-2,9.877509613E0,9.877940633E0
3.147087292E0,-7.664062500E-2,7.244934082E-2,9.802365875E0,9.802933206E0
3.157133292E0,-6.930587769E-2,6.915618896E-2,9.864636383E0,9.865122242E0
3.167179292E0,-7.214996338E-2,6.421646118E-2,9.932744751E0,9.933214367E0
3.177226292E0,-6.616241455E-2,7.304809570E-2,9.868528290E0,9.869020422E0
3.187272292E0,-5.613327026E-2,9.460327148E-2,9.826465759E0,9.827081461E0
3.197318292E0,-5.254074097E-2,9.699829102E-2,9.916428680E0,9.917042249E0
3.207364292E0,-6.571334839E-2,9.580078125E-2,9.941726074E0,9.942404808E0
